"Date","Price","Open","High","Low","Vol.","Change %"
"18-11-2008","1.4967","1.4995","1.5092","1.4901","","-0.23%"
"17-11-2008","1.5001","1.4662","1.5080","1.4652","","1.69%"
"14-11-2008","1.4751","1.4874","1.4957","1.4659","","-0.75%"
"13-11-2008","1.4863","1.4928","1.4990","1.4564","","-0.46%"
"12-11-2008","1.4931","1.5381","1.5480","1.4863","","-2.93%"
"11-11-2008","1.5382","1.5620","1.5702","1.5356","","-1.47%"
"10-11-2008","1.5612","1.5805","1.5884","1.5577","","-0.39%"
"07-11-2008","1.5673","1.5606","1.5873","1.5536","","0.44%"
"06-11-2008","1.5605","1.5883","1.6035","1.5583","","-2.02%"
"05-11-2008","1.5927","1.5947","1.6199","1.5756","","-0.56%"
"04-11-2008","1.6016","1.5792","1.6108","1.5605","","1.13%"
"03-11-2008","1.5837","1.6099","1.6399","1.5753","","-1.44%"
"31-10-2008","1.6068","1.6378","1.6423","1.6008","","-2.23%"
"30-10-2008","1.6435","1.6378","1.6673","1.6214","","0.11%"
"29-10-2008","1.6417","1.6033","1.6470","1.5942","","3.09%"
"28-10-2008","1.5925","1.5543","1.6039","1.5402","","2.52%"
"27-10-2008","1.5533","1.5814","1.5877","1.5280","","-2.45%"
"24-10-2008","1.5923","1.6246","1.6249","1.5270","","-2.44%"
"23-10-2008","1.6321","1.6223","1.6347","1.6051","","0.18%"
"22-10-2008","1.6291","1.6618","1.6658","1.6151","","-2.35%"
"21-10-2008","1.6683","1.7167","1.7200","1.6585","","-2.93%"
"20-10-2008","1.7187","1.7322","1.7518","1.7106","","-0.57%"
"17-10-2008","1.7285","1.7327","1.7383","1.7226","","-0.19%"
"16-10-2008","1.7318","1.7168","1.7354","1.7155","","0.83%"
"15-10-2008","1.7175","1.7405","1.7602","1.7160","","-1.34%"
"14-10-2008","1.7408","1.7428","1.7630","1.7388","","0.07%"
"13-10-2008","1.7395","1.7126","1.7445","1.6936","","2.08%"
"10-10-2008","1.7041","1.7057","1.7178","1.6806","","-0.16%"
"09-10-2008","1.7068","1.7250","1.7396","1.7042","","-1.22%"
"08-10-2008","1.7279","1.7490","1.7654","1.7245","","-1.11%"
"07-10-2008","1.7473","1.7438","1.7655","1.7329","","0.24%"
"06-10-2008","1.7431","1.7671","1.7686","1.7337","","-1.60%"
"03-10-2008","1.7715","1.7643","1.7836","1.7561","","0.36%"
"02-10-2008","1.7652","1.7692","1.7729","1.7555","","-0.33%"
"01-10-2008","1.7710","1.7836","1.7877","1.7636","","-0.66%"
"30-09-2008","1.7828","1.8029","1.8117","1.7759","","-1.34%"
"29-09-2008","1.8071","1.8292","1.8335","1.7963","","-2.03%"
"26-09-2008","1.8445","1.8405","1.8467","1.8336","","0.35%"
"25-09-2008","1.8381","1.8496","1.8672","1.8310","","-0.44%"
"24-09-2008","1.8462","1.8545","1.8607","1.8459","","-0.25%"
"23-09-2008","1.8509","1.8572","1.8633","1.8473","","-0.22%"
"22-09-2008","1.8550","1.8330","1.8643","1.8265","","1.28%"
"19-09-2008","1.8315","1.8148","1.8388","1.7918","","0.86%"
"18-09-2008","1.8158","1.8143","1.8275","1.8094","","0.10%"
"17-09-2008","1.8139","1.7839","1.8244","1.7789","","1.58%"
"16-09-2008","1.7856","1.7961","1.8001","1.7735","","-0.77%"
"15-09-2008","1.7995","1.7989","1.8129","1.7769","","0.28%"
"12-09-2008","1.7945","1.7578","1.7959","1.7547","","1.99%"
"11-09-2008","1.7595","1.7503","1.7606","1.7449","","0.54%"
"10-09-2008","1.7500","1.7594","1.7678","1.7490","","-0.65%"
"09-09-2008","1.7615","1.7592","1.7706","1.7506","","0.23%"
"08-09-2008","1.7575","1.7845","1.7976","1.7472","","-0.46%"
"05-09-2008","1.7657","1.7588","1.7744","1.7540","","0.40%"
"04-09-2008","1.7586","1.7750","1.7858","1.7561","","-0.89%"
"03-09-2008","1.7744","1.7816","1.7836","1.7668","","-0.43%"
"02-09-2008","1.7820","1.7967","1.7976","1.7784","","-1.03%"
"01-09-2008","1.8005","1.8124","1.8129","1.7919","","-1.13%"
"29-08-2008","1.8211","1.8291","1.8343","1.8174","","-0.39%"
"28-08-2008","1.8283","1.8357","1.8405","1.8241","","-0.35%"
"27-08-2008","1.8347","1.8391","1.8489","1.8286","","-0.26%"
"26-08-2008","1.8394","1.8508","1.8511","1.8331","","-0.72%"
"25-08-2008","1.8527","1.8507","1.8590","1.8407","","0.03%"
"22-08-2008","1.8521","1.8768","1.8774","1.8505","","-1.44%"
